identifier,xml_tag,source_file,urgency,frequency,group,note,category,tags,suitable,reduces,afflicts
antipsychosis,Haloperidol,medical.xml,6.0,4.0,antidote,"Психоз опасен, но встречается не каждый рейс.",medical,"chem,medical,smallitem,syringe",psychosis,"hallucinating,psychosis",stun
steroids,AnabolicSteroids,buffs.xml,5.8,3.0,buff,"Бафф силы, обычно плановое применение.",medical,"chem,medical,smallitem,syringe",,"chemwithdrawal,oxygenlow","chemaddiction,strengthen,stun"
beerbottle1,Item,buffs.xml,5.7,6.1,food_drink,оценка по XML-эффектам и доступности,"medical,misc",smallitem,psychosis,"damage,hallucinating,psychosis",drunk
sulphuricacid,SulphuricAcid,poisons.xml,5.6,2.1,poison,Опасная химия и компонент.,medical,"chem,poison,smallitem",,,acidburn
raptorbaneextract,raptorbaneextract,poisons.xml,5.2,1.4,poison,"Больше токсин/компонент, чем частая медицина.",medical,"chem,poison,smallitem,syringe",,,"nausea,organdamage,stun"
hallucinogenicbufotoxin,Bufotoxin,poisons.xml,4.8,1.2,poison,Нишевый токсин.,medical,"chem,medical,poison,smallitem",,paralysis,psychosis
tonicliquid,TonicLiquid,medical.xml,4.7,4.1,buff,"Усилитель длительности эффектов, скорее подготовка.","material,medical","chem,medical,smallitem","burn,damage,opiateoverdose,opiatewithdrawal,oxygenlow",damage,durationincrease
mindsense,MindSense,buffs.xml,4.5,2.4,buff,Полезный редкий бафф.,medical,"chem,medical,smallitem",,,mindsense
energydrink,EnergyDrink,buffs.xml,3.9,4.7,food_drink,Бытовой/баффовый расходник.,"material,medical","chem,medical,smallitem",,,"haste,nausea"
ethanol,Ethanol,buffs.xml,3.4,5.5,food_drink,"Часто доступен, медицинская срочность низкая.","material,medical","chem,medical,petfood2,smallitem","burn,infection","hallucinating,infection,psychosis","burn,drunk,psychosisresistance"
mindwipe,MindWipe,buffs.xml,3.2,1.4,misc,Нишевое средство.,medical,smallitem,,,
proteinbar,ProteinBar,buffs.xml,2.4,5.0,food_drink,"Еда/легкий бафф, не срочная медицина.","material,medical","medical,smallitem",,"burn,damage",strengthen
elastin,Elastin,medical.xml,2.0,5.0,material,"Материал для крафта, не применяется срочно.",material,"chem,smallitem",,,
